EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,철강,,,KOSPI,철강금속,동국제강,"""460860""",,"
															12,400"
,,,,,,,창업투자,,,KOSDAQ,금융서비스,키움제8호스팩,"""446840""",,"
															2,120"
,,,,,,,화학,,,KOSPI,화학,이수스페셜티케미컬,"""457190""",,"
															357,500"
,,,,,,,화학,,,KOSPI,화학,OCI,"""456040""",,"
															108,100"
,,,,,,,철강,,,KOSPI,철강금속,동국씨엠,"""460850""",,"
															13,180"
,,,,,,,창업투자,,,KOSDAQ,,하이제8호스팩,"""450050""",,"
															0"
44.22,1.03,197.61,,,,,부동산,,,KOSPI,서비스업,한화리츠,"""451800""",4.00,"
															5,150"
2.26,1.13,7.73,14.22,762.0,3.43,"
											
											
												
				26.97
			
											
										",게임엔터테인먼트,125,16.40,KOSDAQ,디지털컨텐츠,티쓰리,"""204610""",,"
															1,698"
5.67,1.62,19.53,9.25,596.0,4.0,"
											
											
												
				43.40
			
											
										",반도체와반도체장비,64,10.79,KOSDAQ,전문기술,큐알티,"""405100""",,"
															14,060"
7.40,1.62,8.04,25.32,184.0,1.4,"
											
											
												
				19.65
			
											
										",소프트웨어,94,51.42,KOSDAQ,소프트웨어,산돌,"""419120""",,"
															11,800"
7.65,1.98,14.11,17.29,700.0,1.7,"
											
											
												
				42.91
			
											
										",기계,77,11.02,KOSDAQ,"기계,장비",모델솔루션,"""417970""",,"
															19,310"
19.05,1.48,18.22,9.67,162.0,1.14,"
											
											
												
				10.82
			
											
										",소프트웨어,21,13.24,KOSDAQ,소프트웨어,이노룰스,"""296640""",,"
															9,000"
43.54,,,,,,,부동산,,,KOSPI,서비스업,KB스타리츠,"""432320""",,"
															4,625"
159.28,6.34,167.51,4.43,74.0,0.45,"
											
											
												
				79.95
			
											
										",생물공학,9,11.71,KOSDAQ,제약,선바이오,"""067370""",,"
															12,290"
35.21,6.85,48.88,19.80,481.0,0.39,"
											
											
												
				41.88
			
											
										",전기제품,77,16.00,KOSDAQ,화학,새빗켐,"""107600""",,"
															89,000"
14.26,1.92,27.88,8.74,824.0,0.87,"
											
											
												
				71.86
			
											
										",반도체와반도체장비,42,5.06,KOSDAQ,반도체,와이씨켐,"""112290""",,"
															12,820"
153.84,0.65,127.9,,,,,부동산,,,KOSPI,서비스업,마스턴프리미어리츠,"""357430""",,"
															3,290"
90.55,0.93,76.18,,,,,부동산,,,KOSPI,서비스업,코람코더원리츠,"""417310""",4.00,"
															4,705"
12.48,3.44,16.68,26.22,587.0,1.51,"
											
											
												
				6.58
			
											
										","섬유,의류,신발,호화품",113,19.30,KOSDAQ,"섬유,의류",공구우먼,"""366030""",,"
															9,150"
8.65,0.88,10.78,9.54,296.0,8.86,"
											
											
												
				14.24
			
											
										",창업투자,71,24.14,KOSDAQ,금융,스톤브릿지벤처스,"""330730""",,"
															4,370"
26.60,0.92,38.59,2.96,880.0,1.4,"
											
											
												
				71.76
			
											
										",디스플레이장비및부품,25,2.86,KOSDAQ,"기계,장비",나래나노텍,"""137080""",,"
															8,940"
21.59,1.04,32.59,4.08,277.0,0.76,"
											
											
												
				72.42
			
											
										",판매업체,40,14.53,KOSDAQ,도매,케이옥션,"""102370""",,"
															4,890"
14.65,0.84,20.32,,454.0,4.7,"
											
											
												
				9.99
			
											
										",창업투자,127,28.10,KOSDAQ,금융,우리벤처파트너스,"""298870""",,"
															2,590"
30.88,0.77,37.6,,,,,부동산,,,KOSPI,서비스업,신한서부티엔디리츠,"""404990""",,"
															3,655"
38.23,0.67,13.15,,,,,부동산,,,KOSPI,서비스업,미래에셋글로벌리츠,"""396690""",,"
															3,450"
36.81,0.78,39.63,,,,,부동산,,,KOSPI,서비스업,NH올원리츠,"""400760""",,"
															3,620"
