EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
5.55,1.51,6.37,29.71,16811.0,1.11,74.28,전자장비와기기,"1,407",8.37,KOSPI,전기전자,비에이치,"""090460""",4.00,26800.0
30.17,2.85,36.38,8.21,76.0,,8.88,건강관리장비와용품,13,16.39,KOSDAQ,"의료,정밀기기",프로테옴텍,"""303360""",,4060.0
12.79,3.77,16.97,25.18,414.0,,89.6,반도체와반도체장비,58,13.98,KOSDAQ,반도체,마이크로투나노,"""424980""",,20100.0
42.15,8.31,47.59,18.57,434.0,,74.56,소프트웨어,95,21.78,KOSDAQ,소프트웨어,슈어소프트테크,"""298830""",,9090.0
-28.71,25.53,,-130.25,168.0,,813.46,소프트웨어,-83,-49.38,KOSDAQ,소프트웨어,씨유박스,"""340810""",,12150.0
24.59,11.05,32.85,,1018.0,,20.4,화장품,173,16.98,KOSDAQ,화학,마녀공장,"""439090""",,40250.0
13.46,2.43,16.29,16.23,388.0,,7.8,전자장비와기기,76,19.66,KOSDAQ,정보기기,트루엔,"""417790""",,14760.0
11.43,1.99,10.23,,1072.0,,146.76,음료,89,8.35,KOSDAQ,도매,나라셀라,"""405920""",,18950.0
65.84,7.62,141.18,8.88,141.0,,54.82,소프트웨어,7,5.09,KOSDAQ,소프트웨어,모니터랩,"""434480""",,10150.0
-60.08,,,997.79,121.0,,2253.35,생물공학,-48,-39.26,KOSDAQ,제약,에스바이오메딕스,"""304360""",,11320.0
5.36,3.36,8.08,,1019.0,,62.1,핸드셋,169,16.57,KOSDAQ,반도체,팸텍,"""271830""",,5240.0
-5.80,4.09,,-60.01,35.0,,11.18,생물공학,-798,"-2,280.94",KOSDAQ,"연구,개발",지아이이노베이션,"""358570""",4.00,19540.0
30.21,9.22,33.15,34.36,997.0,,40.94,반도체와반도체장비,278,27.83,KOSDAQ,반도체,기가비스,"""420770""",,87300.0
20.34,4.51,18.74,27.69,481.0,,121.76,화학,51,10.65,KOSDAQ,화학,진영,"""285800""",,7590.0
23.65,1.08,26.43,4.19,185.0,,9.28,창업투자,39,20.91,KOSDAQ,금융,LB인베스트먼트,"""309960""",,5120.0
12.44,1.98,36.85,6.73,6918.0,,131.96,건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",4.00,19330.0
10.60,17.41,45.35,59.00,271.0,,36.07,IT서비스,46,16.89,KOSDAQ,소프트웨어,토마토시스템,"""393210""",,17470.0
11.34,1.82,20.5,9.47,275.0,,43.04,화장품,29,10.49,KOSDAQ,"섬유,의류",셀바이오휴먼텍,"""318160""",,6370.0
14.94,2.22,17.8,13.13,2306.0,,95.11,에너지장비및서비스,76,3.27,KOSDAQ,전문건설,금양그린파워,"""282720""",,14900.0
29.13,7.62,37.58,23.04,383.0,,53.76,소프트웨어,46,11.96,KOSDAQ,소프트웨어,엑스게이트,"""356680""",,6540.0
"-2,969.89",1.23,,,,,184.83,창업투자,-1,,KOSDAQ,금융서비스,미래에셋드림스팩1호,"""442900""",,9490.0
337.84,10.55,321.68,3.33,161.0,,5.28,반도체와반도체장비,6,3.83,KOSDAQ,통신장비,자람테크놀로지,"""389020""",,37900.0
117.44,25.49,111.86,28.35,385.0,,158.51,전자장비와기기,41,10.76,KOSDAQ,"기계,장비",나노팀,"""417010""",,27200.0
-793.41,1.77,,,,,80.75,창업투자,-0,,KOSDAQ,금융서비스,엔에이치스팩28호,"""450410""",,2230.0
511.39,35.73,456.71,8.82,109.0,,68.25,반도체와반도체장비,6,5.36,KOSDAQ,반도체,라온텍,"""418420""",,9400.0
-584.63,1.25,,,,,207.73,창업투자,-0,,KOSDAQ,금융서비스,유안타제12호스팩,"""446150""",,2150.0
"-1,987.70",1.59,,,,,88.84,창업투자,-0,,KOSDAQ,금융서비스,유안타제13호스팩,"""449020""",,2050.0
30.04,4.9,42.65,12.21,644.0,,59.97,전자장비와기기,36,5.57,KOSDAQ,반도체,화인써키트,"""127980""",,13460.0
11.26,4.46,12.8,43.36,354.0,,81.97,생명과학도구및서비스,62,17.61,KOSDAQ,"연구,개발",바이오인프라,"""199730""",,19340.0
"-10,520.32",0.9,,,,,271.13,창업투자,-0,,KOSDAQ,금융서비스,미래에셋비전스팩2호,"""446190""",,2180.0
22.57,4.77,24.2,22.05,91.0,,17.87,화장품,13,14.65,KOSDAQ,화학,이노진,"""344860""",,3485.0
"-11,023.61",16.79,,-13.25,677.0,,44.15,건설,-57,-8.41,KOSDAQ,전문기술,제이오,"""418550""",4.00,36250.0
"-5,787.57",1.54,,,,,89.03,창업투자,-0,,KOSDAQ,금융서비스,삼성스팩8호,"""448740""",,9790.0
68.98,69.41,64.37,62.77,93.0,,389.21,소프트웨어,22,23.17,KOSDAQ,소프트웨어,샌즈랩,"""411080""",,11560.0
103.82,17.04,104.11,19.58,272.0,,98.05,가구,13,4.85,KOSDAQ,기타제조,꿈비,"""407400""",,17430.0
20.73,5.67,20.51,32.13,5502.0,,110.61,반도체와반도체장비,150,2.73,KOSDAQ,도매,미래반도체,"""254490""",,28700.0
-130.58,1145.25,,-396.49,259.0,,9839.02,소프트웨어,-19,-7.51,KOSDAQ,소프트웨어,오브젠,"""417860""",,39400.0
42.11,6.79,94.07,9.61,258.0,,21.04,방송과엔터테인먼트,15,5.86,KOSDAQ,방송서비스,스튜디오미르,"""408900""",,32900.0
18.99,4.93,27.14,19.99,1070.0,,110.74,자동차부품,80,7.46,KOSDAQ,"운송장비,부품",삼기이브이,"""419050""",,17940.0
10.57,4.91,11.48,61.17,3517.0,,101.33,반도체와반도체장비,422,11.99,KOSDAQ,반도체,티이엠씨,"""425040""",4.00,55700.0
-27.25,2.62,,,243.0,,70.28,통신장비,-108,-44.42,KOSDAQ,통신장비,옵티코어,"""380540""",,2205.0
12.58,2.16,896.3,,2325.0,,380.82,자동차부품,1,0.04,KOSDAQ,금속,한주라이트메탈,"""198940""",,5130.0
-416.18,1.06,,,,,15.26,창업투자,-0,,KOSDAQ,금융서비스,신영스팩9호,"""445970""",,2125.0
-0.79,0.3,1.44,21.48,4797.0,5.71,9.8,건강관리장비와용품,"3,078",64.17,KOSPI,의약품,바이오노트,"""377740""",,4720.0
-913.39,1.16,57.32,,,,8.53,창업투자,1,,KOSDAQ,금융서비스,엔에이치스팩26호,"""439410""",,2170.0
51.95,3.92,,,683.0,,62.84,방송과엔터테인먼트,-230,-33.61,KOSDAQ,"오락,문화",SAMG엔터,"""419530""",,23250.0
-488.83,1.09,,,,,13.61,창업투자,-0,,KOSDAQ,금융서비스,비엔케이제1호스팩,"""445360""",,2120.0
36.92,4.59,,-39.36,174.0,,32.64,양방향미디어와서비스,-36,-20.71,KOSDAQ,디지털컨텐츠,핑거스토리,"""417180""",,4965.0
-829.27,1.19,93.91,,,,5.41,창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩27호,"""440820""",,2175.0
10.46,2.14,22.68,11.50,3810.0,,156.74,철강,59,1.54,KOSDAQ,금속,신스틸,"""162300""",,3375.0
-288.28,1.15,,,,,18.27,창업투자,-0,,KOSDAQ,금융서비스,IBKS제21호스팩,"""442770""",,2265.0
-467.74,1.35,,,,,6.18,창업투자,-0,,KOSDAQ,금융서비스,대신밸런스제14호스팩,"""442310""",,2475.0
-393.30,1.28,,,,,8.67,창업투자,-0,,KOSDAQ,금융서비스,대신밸런스제13호스팩,"""438220""",,2440.0
-361.24,1.13,,,,,15.45,창업투자,-0,,KOSDAQ,금융서비스,유진스팩9호,"""442130""",,2215.0
32.99,4.95,46.85,12.01,217.0,,13.52,디스플레이장비및부품,41,18.98,KOSDAQ,"기계,장비",엔젯,"""419080""",4.00,22300.0
-6.80,2.57,,-37.23,37.0,,14.55,제약,-106,-284.54,KOSDAQ,제약,인벤티지랩,"""389470""",,9360.0
20.68,5.99,27.03,27.98,612.0,,178.35,전자장비와기기,52,8.57,KOSDAQ,"기계,장비",펨트론,"""168360""",,14670.0
0.69,0.44,14.36,,292.0,,11.19,건축자재,10,3.28,KOSPI,종이목재,유니드비티플러스,"""446070""",,7900.0
2.04,1.1,7.53,14.22,762.0,3.43,26.97,게임엔터테인먼트,125,16.40,KOSDAQ,디지털컨텐츠,티쓰리,"""204610""",,1655.0
10.16,7.95,16.18,65.14,315.0,,330.05,교육서비스,22,6.84,KOSDAQ,소프트웨어,유비온,"""084440""",,2070.0
5.80,1.4,9.96,16.34,440.0,,39.32,생명과학도구및서비스,53,11.94,KOSDAQ,"연구,개발",디티앤씨알오,"""383930""",,5140.0
39.36,9.93,45.26,29.10,2103.0,0.34,101.5,전자장비와기기,248,11.78,KOSDAQ,"기계,장비",윤성에프앤씨,"""372170""",,171400.0
-47.09,8.74,,-29.66,98.0,,10.33,기계,-82,-84.07,KOSDAQ,"기계,장비",뉴로메카,"""348340""",,33600.0
11.90,2.78,12.99,25.55,683.0,,37.09,반도체와반도체장비,109,16.00,KOSDAQ,반도체,제이아이테크,"""417500""",,5270.0
14.09,2.4,17.7,14.86,637.0,,36.8,반도체와반도체장비,67,10.54,KOSDAQ,반도체,티에프이,"""425420""",,12750.0
4.95,2.1,8.53,26.70,21193.0,6.28,35.7,디스플레이장비및부품,"2,337",11.03,KOSPI,전기전자,LX세미콘,"""108320""",4.00,122500.0
