EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
5.54,1.51,6.36,29.71,16811.0,1.11,"
											
											
												
				74.28
			
											
										",전자장비와기기,"1,407",8.37,KOSPI,전기전자,비에이치,"""090460""",4.00,"
															26,750"
12.58,2.0,37.27,6.73,6918.0,,"
											
											
												
				131.96
			
											
										",건설,280,4.05,KOSPI,철강금속,SK오션플랜트,"""100090""",4.00,"
															19,550"
10.70,4.97,11.62,61.17,3517.0,,"
											
											
												
				101.33
			
											
										",반도체와반도체장비,422,11.99,KOSDAQ,반도체,티이엠씨,"""425040""",4.00,"
															56,400"
35.18,5.23,49.48,12.01,217.0,,"
											
											
												
				13.52
			
											
										",디스플레이장비및부품,41,18.98,KOSDAQ,"기계,장비",엔젯,"""419080""",4.00,"
															23,550"
13.08,2.45,15.56,17.22,461.0,,"
											
											
												
				38.73
			
											
										",반도체와반도체장비,63,13.71,KOSDAQ,반도체,저스템,"""417840""",4.00,"
															17,810"
21.96,2.62,37.51,8.24,2575.0,,"
											
											
												
				15.36
			
											
										",전기제품,553,21.46,KOSDAQ,일반전기전자,더블유씨피,"""393890""",4.00,"
															72,700"
4.76,2.03,8.25,26.70,21193.0,6.28,"
											
											
												
				35.70
			
											
										",디스플레이장비및부품,"2,337",11.03,KOSPI,전기전자,LX세미콘,"""108320""",4.00,"
															118,500"
28.90,5.83,37.78,19.62,2699.0,,"
											
											
												
				44.40
			
											
										",전기제품,391,14.50,KOSDAQ,화학,성일하이텍,"""365340""",4.00,"
															142,400"
25.77,12.36,32.93,53.20,1593.0,0.28,"
											
											
												
				33.55
			
											
										",반도체와반도체장비,660,41.42,KOSDAQ,반도체,HPSP,"""403870""",4.00,"
															29,750"
74.47,2.36,101.17,3.44,507.0,,"
											
											
												
				21.89
			
											
										",전기장비,23,4.46,KOSDAQ,일반전기전자,범한퓨얼셀,"""382900""",4.00,"
															29,300"
15.90,4.21,16.5,31.97,880.0,,"
											
											
												
				199.56
			
											
										",에너지장비및서비스,268,30.49,KOSDAQ,종합건설,대명에너지,"""389260""",4.00,"
															26,450"
47.26,5.98,68.7,,433.0,,"
											
											
												
				34.55
			
											
										",반도체와반도체장비,44,10.20,KOSDAQ,반도체,가온칩스,"""399720""",4.00,"
															28,300"
78.84,5.59,105.64,7.74,269.0,,"
											
											
												
				27.61
			
											
										",전자장비와기기,20,7.37,KOSDAQ,"의료,정밀기기",퓨런티어,"""370090""",4.00,"
															27,000"
18.38,3.48,24.85,19.46,821.0,,"
											
											
												
				51.25
			
											
										",반도체와반도체장비,101,12.34,KOSDAQ,반도체,비씨엔씨,"""146320""",4.00,"
															20,750"
43.81,7.03,170.34,5.75,255986.0,,"
											
											
												
				85.98
			
											
										",전기제품,"7,798",3.05,KOSPI,전기전자,LG에너지솔루션,"""373220""",4.00,"
															563,000"
13.48,0.38,24.64,1.55,45107.0,,"
											
											
												
				29.12
			
											
										",반도체와반도체장비,"2,561",5.68,KOSPI,기타금융업,SK스퀘어,"""402340""",4.00,"
															45,250"
47.17,6.4,52.34,12.38,492.0,,"
											
											
												
				8.01
			
											
										",양방향미디어와서비스,164,33.33,KOSDAQ,소프트웨어,디어유,"""376300""",4.00,"
															38,300"
-683.59,3.47,115.65,3.08,5217.0,,"
											
											
												
				74.59
			
											
										",IT서비스,268,5.14,KOSPI,기타금융업,카카오페이,"""377300""",3.40,"
															47,100"
9.01,2.81,22.73,11.65,21773.0,6.58,"
											
											
												
				117.38
			
											
										",전문소매,304,1.40,KOSPI,유통업,케이카,"""381970""",4.00,"
															14,350"
17.41,3.73,22.52,18.01,887.0,,"
											
											
												
				106.50
			
											
										",기계,91,10.21,KOSDAQ,"기계,장비",아스플로,"""159010""",3.50,"
															15,290"
13.21,3.99,20.52,22.02,567.0,1.01,"
											
											
												
				27.45
			
											
										",제약,207,36.51,KOSDAQ,제약,바이오플러스,"""099430""",4.00,"
															7,440"
13.85,4.25,19.86,23.49,493.0,1.94,"
											
											
												
				7.20
			
											
										",전기제품,127,25.82,KOSDAQ,일반전기전자,와이엠텍,"""273640""",4.00,"
															23,050"
111.29,3.74,167.3,2.27,1091.0,,"
											
											
												
				8.83
			
											
										",자동차부품,70,6.46,KOSPI,운수장비,일진하이솔루스,"""271940""",4.00,"
															32,450"
18.85,4.11,26.76,16.66,853.0,0.51,"
											
											
												
				44.08
			
											
										",화장품,76,8.95,KOSDAQ,화학,아이패밀리에스씨,"""114840""",4.00,"
															24,250"
53.89,10.0,78.25,13.92,586.0,,"
											
											
												
				44.55
			
											
										",소프트웨어,66,11.23,KOSDAQ,소프트웨어,엠로,"""058970""",4.00,"
															45,200"
15.44,3.28,24.48,13.70,2764.0,2.7,"
											
											
												
				46.14
			
											
										",화학,457,16.54,KOSPI,화학,PI첨단소재,"""178920""",3.90,"
															38,100"
27.86,1.97,42.8,4.68,16058.0,0.33,"
											
											
												
				591.43
			
											
										",은행,"2,631",16.38,KOSPI,은행,카카오뱅크,"""323410""",3.42,"
															23,650"
8.54,2.84,12.91,24.83,503.0,,"
											
											
												
				32.41
			
											
										",IT서비스,94,18.70,KOSDAQ,소프트웨어,원티드랩,"""376980""",4.00,"
															12,930"
13.25,0.73,22.59,3.29,8465.0,0.86,"
											
											
												
				54.88
			
											
										",제약,381,4.50,KOSDAQ,제약,HK이노엔,"""195940""",4.00,"
															29,800"
8.17,5.19,10.87,60.40,18089.0,1.11,"
											
											
												
				66.48
			
											
										","섬유,의류,신발,호화품","4,427",24.47,KOSPI,섬유의복,F&F,"""383220""",4.00,"
															125,400"
20.20,3.67,29.99,13.06,1306.0,,"
											
											
												
				33.36
			
											
										",화장품,165,12.60,KOSDAQ,화학,씨앤씨인터내셔널,"""352480""",4.00,"
															49,300"
8.97,1.73,23.71,7.56,11086.0,1.79,"
											
											
												
				74.36
			
											
										",핸드셋,230,2.07,KOSPI,전기전자,엠씨넥스,"""097520""",3.80,"
															30,300"
32.38,3.43,48.74,,4567.0,,"
											
											
												
				22.98
			
											
										",제약,"1,225",26.81,KOSPI,의약품,SK바이오사이언스,"""302440""",3.17,"
															77,800"
32.94,4.64,57.73,8.35,507.0,0.25,"
											
											
												
				87.34
			
											
										",우주항공과국방,27,5.36,KOSDAQ,통신장비,제노코,"""361390""",4.00,"
															20,900"
39.90,8.03,30.17,31.65,350.0,,"
											
											
												
				119.88
			
											
										",디스플레이장비및부품,76,21.58,KOSDAQ,화학,피엔에이치테크,"""239890""",4.00,"
															24,800"
14.92,4.78,30.12,16.93,16945.0,,"
											
											
												
				256.66
			
											
										",전자장비와기기,454,2.68,KOSPI,전기전자,솔루엠,"""248070""",4.00,"
															28,500"
15.39,1.77,5.92,35.37,643.0,0.3,"
											
											
												
				102.75
			
											
										",화장품,201,31.25,KOSDAQ,화학,선진뷰티사이언스,"""086710""",4.00,"
															9,530"
5.64,2.28,8.4,31.25,2215.0,1.6,"
											
											
												
				46.84
			
											
										",반도체와반도체장비,305,13.79,KOSDAQ,일반전기전자,티엘비,"""356860""",4.00,"
															26,100"
7.87,3.0,13.44,25.18,15152.0,,"
											
											
												
				142.12
			
											
										",자동차부품,857,5.66,KOSPI,운수장비,명신산업,"""009900""",4.00,"
															21,950"
47.51,7.6,376.83,2.14,1139.0,,"
											
											
												
				219.71
			
											
										",전자장비와기기,15,1.32,KOSDAQ,"기계,장비",하나기술,"""299030""",4.00,"
															76,000"
12.42,1.22,40.88,2.97,5175.0,2.17,"
											
											
												
				70.17
			
											
										",식품,49,0.95,KOSPI,유통업,교촌에프앤비,"""339770""",4.00,"
															8,730"
33.71,4.49,237.9,1.87,17762.0,,"
											
											
												
				66.30
			
											
										",방송과엔터테인먼트,480,2.70,KOSPI,서비스업,하이브,"""352820""",4.00,"
															301,000"
15.03,4.01,20.28,21.53,816.0,1.24,"
											
											
												
				10.30
			
											
										",건강관리장비와용품,211,25.89,KOSDAQ,제약,티앤엘,"""340570""",4.00,"
															52,700"
12.53,7.67,17.53,52.53,1149.0,1.0,"
											
											
												
				21.63
			
											
										",반도체와반도체장비,434,37.77,KOSDAQ,반도체,넥스틴,"""348210""",4.00,"
															77,500"
32.32,6.56,35.27,20.99,707.0,,"
											
											
												
				118.65
			
											
										",전기장비,117,16.52,KOSDAQ,IT부품,비나텍,"""126340""",4.00,"
															71,800"
4.75,1.35,5.51,27.07,4979.0,1.25,"
											
											
												
				77.51
			
											
										","섬유,의류,신발,호화품",693,13.92,KOSDAQ,"섬유,의류",더네이쳐홀딩스,"""298540""",4.00,"
															25,600"
55.40,5.57,79.53,7.34,1488.0,,"
											
											
												
				416.36
			
											
										",기계,31,2.10,KOSDAQ,"기계,장비",티에스아이,"""277880""",4.00,"
															13,450"
6.59,2.49,11.95,23.03,10909.0,0.92,"
											
											
												
				16.98
			
											
										",반도체와반도체장비,"1,677",15.37,KOSDAQ,화학,솔브레인,"""357780""",4.00,"
															250,000"
31.10,15.9,67.08,32.34,815.0,,"
											
											
												
				29.33
			
											
										",건강관리장비와용품,134,16.43,KOSDAQ,"의료,정밀기기",원텍,"""336570""",4.00,"
															10,320"
27.82,10.68,36.06,35.06,311.0,0.31,"
											
											
												
				14.38
			
											
										",건강관리장비와용품,115,36.88,KOSDAQ,"의료,정밀기기",비올,"""335890""",4.00,"
															7,150"
4.36,1.14,7.2,17.27,9848.0,1.23,"
											
											
												
				71.11
			
											
										",에너지장비및서비스,606,6.15,KOSPI,전기전자,HD현대에너지솔루션,"""322000""",4.00,"
															38,950"
49.27,6.37,248.87,2.61,460.0,,"
											
											
												
				230.75
			
											
										",건강관리장비와용품,15,3.16,KOSDAQ,제약,제테마,"""216080""",4.00,"
															20,350"
6.67,0.81,17.3,5.32,11596.0,1.51,"
											
											
												
				78.04
			
											
										",가구,294,2.53,KOSPI,미분류,지누스,"""013890""",4.00,"
															27,800"
12.73,3.35,18.05,20.42,623.0,,"
											
											
												
				100.99
			
											
										",디스플레이장비및부품,100,15.97,KOSDAQ,반도체,케이엔제이,"""272110""",4.00,"
															22,650"
116.11,4.52,612.2,0.74,3121.0,,"
											
											
												
				96.33
			
											
										",전기제품,39,1.24,KOSPI,전기전자,두산퓨얼셀,"""336260""",4.00,"
															28,900"
27.09,4.61,66.71,7.33,1290.0,,"
											
											
												
				91.04
			
											
										",건강관리장비와용품,80,6.17,KOSDAQ,"의료,정밀기기",레이,"""228670""",4.00,"
															36,750"
17.73,1.75,20.76,8.91,1110.0,,"
											
											
												
				46.85
			
											
										",디스플레이장비및부품,150,13.56,KOSDAQ,반도체,덕산테코피아,"""317330""",4.00,"
															18,140"
16.07,2.75,71.93,4.30,2012.0,0.42,"
											
											
												
				84.15
			
											
										",기계,100,4.95,KOSDAQ,"기계,장비",코윈테크,"""282880""",4.00,"
															35,450"
115.12,11.75,245.62,4.87,33019.0,0.17,"
											
											
												
				74.96
			
											
										",화학,"1,219",3.69,KOSPI,전기전자,포스코퓨처엠,"""003670""",4.00,"
															375,000"
10.61,2.22,28.84,8.00,27545.0,1.19,"
											
											
												
				75.76
			
											
										",IT서비스,"1,162",4.22,KOSPI,서비스업,현대오토에버,"""307950""",4.00,"
															119,800"
26.79,5.63,52.03,11.90,3289.0,0.23,"
											
											
												
				107.34
			
											
										",전기제품,428,13.03,KOSDAQ,화학,천보,"""278280""",4.00,"
															194,400"
